t,x,y
0,17.34,-330.6
0.017,42.94,-328.6
0.034,67.33,-319.6
0.05,91.51,-314.6
0.067,115.4,-309.6
0.084,137.4,-299.6
0.101,159.4,-291.6
0.118,179.3,-281.5
0.134,195.4,-267.6
0.151,211.4,-255.6
0.168,227.3,-244.6
0.185,241.3,-232.5
0.202,252.4,-220.5
0.219,262.3,-208.5
0.235,270.4,-197.6
0.252,277.4,-187.5
0.269,283.4,-178.5
0.286,288.4,-170.5
0.303,292.3,-163.7
0.319,294.4,-157.5
0.336,296.4,-153.5
0.353,295.3,-149.7
0.37,294.3,-147.7
0.387,294.3,-147.7
0.403,294.2,-149.9
0.42,294.5,-153.2
0.437,291.5,-157.4
0.454,289.2,-163.7
0.471,282.6,-169.3
0.487,280.2,-179.8
0.504,272.2,-188
0.521,264.6,-197.4
0.538,257.3,-209.6
0.555,245.2,-219.8
0.572,233.3,-231.6
0.588,220.1,-243.9
0.605,207.3,-259.6
0.622,190.4,-271.6
0.639,169.3,-278.6
0.656,151.3,-291.6
0.672,129.4,-299.5
0.689,107.3,-309.6
0.706,83.14,-314.1
0.723,59.34,-319.7
0.74,34.36,-325.6
0.756,9.074,-325.6
0.773,-16.66,-325.6
0.79,-42.55,-326.6
0.807,-67.76,-324.6
0.824,-92.56,-317.6
0.84,-116.5,-309.6
0.857,-138.6,-299.6
0.874,-160.5,-291.6
0.891,-178.7,-277.6
0.908,-194.7,-263.6
0.925,-210.7,-251.6
0.941,-226.6,-240.6
0.958,-240.6,-228.7
0.975,-252.7,-217.6
0.992,-262.6,-205.7
1.009,-269.6,-193.7
1.025,-276.6,-183.6
1.042,-283.7,-175.6
1.059,-288.6,-167.6
1.076,-289.7,-159.6
1.093,-294.7,-155.5
1.109,-296.7,-151.5
1.126,-294.7,-147.5
1.143,-298.5,-147.8
1.16,-297.7,-147.5
1.177,-297.5,-149.9
1.193,-292.7,-151.5
1.21,-289.6,-155.7
1.227,-286.6,-161.8
1.244,-284.6,-169.8
1.261,-278.5,-177.8
1.277,-272.8,-187.3
1.294,-264.7,-197.6
1.311,-256.8,-209.4
1.328,-246.5,-221.7
1.345,-232.4,-231.9
1.362,-221.8,-247.5
1.378,-206.6,-260.6
1.395,-188.8,-271.6
1.412,-170.8,-285.5
1.429,-150.5,-295.6
1.446,-127.6,-302.6
1.462,-104.8,-311.5
1.479,-80.63,-318.6
1.496,-56.5,-326.6
1.513,-30.89,-328.6
1.53,-4.859,-330.6
1.546,20.35,-328.6
1.563,45.43,-327.6
1.58,69.37,-320.6
1.597,94.34,-317.6
1.614,117.4,-311.6
1.63,139.3,-301.6
1.647,159.3,-290.6
1.664,177.3,-278.6
1.681,195.4,-268.5
1.698,209.2,-253.6
1.715,225.4,-243.5
1.731,239.3,-232.6
1.748,247.4,-218.5
1.765,257.4,-207.5
1.782,263.4,-195.6
1.799,271.3,-186.6
1.815,277.3,-177.7
1.832,284.3,-171.7
1.849,288.4,-165.6
1.866,290.3,-159.7
1.883,291.4,-155.5
1.899,294.3,-153.7
1.916,296.3,-153.6
1.933,295.2,-153.7
1.95,294.4,-155.4
1.967,290.5,-157.5
1.983,287.2,-161.8
2,283.4,-167.5
2.017,277.4,-173.7
2.034,274.6,-183.3
2.051,266.2,-191.9
2.068,258.6,-201.4
2.084,248.4,-211.7
2.101,238.6,-223.5
2.118,226.3,-235.6
2.135,212.3,-247.7
2.152,197.3,-259.6
2.168,182.3,-273.7
2.185,164.3,-285.6
2.202,144.3,-295.6
2.219,124.2,-307.6
2.236,101.4,-315.5
2.252,77.37,-319.6
2.269,52.47,-321.6
2.286,28.19,-326.6
2.303,3.206,-327.6
2.32,-22.71,-326.6
2.336,-48.64,-325.6
2.353,-73.65,-323.6
2.37,-97.58,-317.6
2.387,-120.7,-309.5
2.404,-141.6,-297.6
2.421,-160.7,-285.6
2.437,-179.7,-275.5
2.454,-198.6,-265.7
2.471,-213.7,-253.5
2.488,-228.6,-241.7
2.505,-240.7,-229.6
2.521,-253.7,-219.5
2.538,-262.6,-207.6
2.555,-270.7,-197.5
2.572,-276.6,-187.6
2.589,-283.6,-179.6
2.605,-287.6,-171.7
2.622,-291.6,-165.6
2.639,-292.7,-159.6
2.656,-293.7,-155.7
2.673,-295.6,-153.8
2.689,-296.8,-153.4
2.706,-295.5,-154
2.723,-293.6,-155.7
2.74,-293.5,-159.8
2.757,-289.4,-164.1
2.774,-286.6,-170.7
2.79,-281.6,-177.8
2.807,-276.6,-186.6
2.824,-268.7,-195.6
2.841,-259.8,-205.4
2.858,-249.6,-215.8
2.874,-242.6,-231.7
2.891,-225.8,-239.5
2.908,-211.8,-251.4
2.925,-195.7,-262.6
2.942,-177.7,-273.7
2.958,-159.7,-285.5
2.975,-139.7,-295.6
2.992,-117.7,-304.6
3.009,-94.83,-312.5
3.026,-71.65,-318.6
3.042,-47.63,-323.6
3.059,-22.71,-326.6
3.076,2.61,-327.6
3.093,27.19,-326.6
3.11,52.35,-326.6
3.126,76.33,-320.6
3.143,100.3,-316.5
3.16,122.4,-308.6
3.177,142.4,-296.6
3.194,162.3,-286.6
3.211,182.4,-278.5
3.227,196.3,-263.6
3.244,212.3,-252.6
3.261,226.3,-240.6
3.278,240.3,-230.6
3.295,248.4,-217.5
3.311,258.4,-207.5
3.328,266.3,-197.6
3.345,274.3,-189.6
3.362,280.3,-181.6
3.379,283.3,-173.7
3.395,287.3,-168.6
3.412,289.3,-163.7
3.429,293.2,-161.6
3.446,294.2,-159.6
3.463,294.3,-159.4
3.479,292.4,-159.5
3.496,290.4,-161.6
3.513,288.5,-165.3
3.53,284.2,-169.9
3.547,283.2,-177.8
3.564,276.2,-183.9
3.58,269.4,-191.5
3.597,260.5,-199.5
3.614,252.1,-210
3.631,246,-223.9
3.648,234.9,-235.9
3.664,222.2,-247.8
3.681,207.5,-259.5
3.698,190.4,-269.5
3.715,172.3,-280.6
3.732,152.4,-288.6
3.748,132.5,-299.5
3.765,112.4,-312.6
3.782,88.51,-315.5
3.799,65.21,-323.6
3.816,40.4,-323.6
3.832,16.14,-325.6
3.849,-8.857,-327.6
3.866,-33.79,-326.6
3.883,-57.73,-321.6
3.9,-81.72,-317.6
3.917,-105.6,-311.6
3.933,-127.5,-303.7
3.95,-147.6,-293.6
3.967,-169.6,-286.6
3.984,-187.7,-275.5
4.001,-203.8,-263.5
4.017,-215.7,-248.6
4.034,-231.7,-239.5
4.051,-243.7,-227.6
4.068,-255.6,-217.7
4.085,-263.7,-206.6
4.101,-269.7,-195.6
4.118,-277.6,-187.6
4.135,-281.7,-179.6
4.152,-285.7,-172.6
4.169,-289.6,-167.6
4.185,-291.7,-163.6
4.202,-291.6,-159.8
4.219,-294.6,-159.6
4.236,-294.6,-159.7
4.253,-291.4,-160.1
4.27,-292.4,-163.9
4.286,-286.5,-166
4.303,-284.5,-172
4.32,-279.6,-177.7
4.337,-275,-185
4.354,-267.7,-193.6
4.37,-261.2,-204.2
4.387,-251.7,-213.6
4.404,-243.7,-226.5
4.421,-231.3,-237.9
4.438,-216.5,-247.7
4.454,-203.5,-261.7
4.471,-185.7,-271.6
4.488,-167.7,-282.5
4.505,-147.6,-291.7
4.522,-126.8,-301.5
4.538,-104.8,-309.6
4.555,-82.64,-319.6
4.572,-58.75,-325.6
4.589,-33.67,-327.6
4.606,-8.762,-329.6
4.623,16.36,-329.6
4.639,40.54,-326.6
4.656,65.16,-324.6
4.673,88.44,-318.6
4.69,111.3,-312.6
4.707,132.3,-303.6
4.723,153.2,-295.6
4.74,169.4,-281.5
4.757,187.3,-271.6
4.774,203.3,-260.6
4.791,218.4,-249.6
4.807,231.4,-238.6
4.824,243.3,-227.6
4.841,253.4,-217.5
4.858,260.3,-205.6
4.875,266.4,-195.5
4.891,273.3,-187.7
4.908,277.3,-179.6
4.925,281.3,-173.6
4.942,286.3,-169.7
4.959,287.3,-165.6
4.976,289.3,-163.6
4.992,288.2,-161.8
5.009,287.4,-161.6
5.026,286.5,-163.3
5.043,286.1,-167.9
5.06,283.1,-172
5.076,280.1,-177.9
5.093,274.2,-183.9
5.11,268.5,-191.5
5.127,260.6,-199.3
5.144,255.2,-211.8
5.16,245.4,-221.5
5.177,235.6,-233.3
5.194,223.4,-245.5
5.211,209.3,-256.6
5.228,193,-266.8
5.244,177.3,-279.5
5.261,159.3,-289.5
5.278,139.5,-299.5
5.295,119.2,-309.6
5.312,95.59,-313.5
5.328,72.98,-322.6
5.345,49.17,-326.6
5.362,25.15,-327.6
5.379,0.211,-329.6
5.396,-24.94,-329.6
5.413,-49.6,-326.6
5.429,-73.57,-320.6
5.446,-96.68,-315.6
5.463,-118.8,-306.6
5.48,-139.5,-297.6
5.497,-159.7,-288.5
5.513,-179.6,-280.6
5.53,-195.7,-268.6
5.547,-208.7,-254.6
5.564,-223.6,-244.6
5.581,-236.6,-233.7
5.597,-246.7,-222.5
5.614,-254.6,-210.6
5.631,-263.7,-201.6
5.648,-268.7,-191.5
5.665,-276.7,-185.5
5.681,-282.7,-179.5
5.698,-285.7,-173.5
5.715,-286.6,-167.7
5.732,-288.6,-164.7
5.749,-290.7,-163.5
5.766,-288.6,-161.7
5.782,-289.7,-163.5
5.799,-287.8,-165.4
5.816,-286.6,-169.7
5.833,-282.3,-174.2
5.85,-277.9,-179.4
5.866,-273.7,-187.5
5.883,-267.4,-196
5.9,-258.7,-203.8
5.917,-252.5,-215.8
5.934,-241.9,-225.3
5.95,-231.4,-237.8
5.967,-218.9,-249.3
5.984,-203.4,-259.8
6.001,-187.8,-271.5
6.018,-169.6,-281.7
6.034,-150.7,-291.6
6.051,-130.7,-301.6
6.068,-109.6,-310.6
6.085,-86.88,-318.5
6.102,-63.7,-323.6
6.119,-39.51,-327.6
6.135,-14.87,-327.6
6.152,9.429,-328.6
6.169,34.23,-329.6
6.186,58.34,-325.6
6.203,81.45,-319.6
6.219,104.4,-314.5
6.236,126.3,-307.6
6.253,146.4,-298.6
6.27,165.3,-288.6
6.287,183.3,-278.6
6.303,199.4,-267.5
6.32,212.2,-253.7
6.337,226.3,-243.6
6.354,239.3,-233.6
6.371,249.4,-223.4
6.387,256.4,-211.6
6.404,263.3,-201.7
6.421,270.3,-193.7
6.438,274.3,-185.7
6.455,278.4,-179.5
6.472,280.3,-173.6
6.488,282.4,-169.6
6.505,284.4,-167.5
6.522,287.3,-167.6
6.539,287.3,-167.6
6.556,287.4,-169.5
6.572,284.4,-171.5
6.589,281.5,-175.5
6.606,279.2,-181.8
6.623,274.3,-187.8
6.64,269.1,-195.9
6.656,261.7,-203.2
6.673,254.2,-213.7
6.69,244.6,-223.3
6.707,235.3,-235.5
6.724,220.4,-243.6
6.74,207.3,-255.5
6.757,193.2,-267.5
6.774,177.3,-279.5
6.791,159.4,-289.5
6.808,139.4,-297.5
6.825,119.2,-307.6
6.841,97.22,-313.6
6.858,75.27,-321.6
6.875,51.38,-325.6
6.892,27.44,-327.6
6.909,3.373,-329.6
6.925,-20.73,-325.6
6.942,-44.78,-323.6
6.959,-68.63,-320.6
6.976,-92.56,-317.6
6.993,-114.7,-310.6
7.009,-134.8,-299.6
7.026,-154.7,-290.6
7.043,-174.7,-282.6
7.06,-190.7,-270.6
7.077,-206.6,-259.6
7.093,-220.7,-248.6
7.11,-234.6,-238.6
7.127,-242.7,-225.5
7.144,-252.7,-215.5
7.161,-260.6,-205.7
7.177,-268.6,-197.7
7.194,-274.6,-189.6
7.211,-280.6,-183.7
7.228,-283.6,-177.7
7.245,-287.6,-173.7
7.262,-287.7,-169.5
7.278,-288.7,-167.5
7.295,-290.6,-167.7
7.312,-288.6,-167.7
7.329,-287.5,-170
7.346,-285.9,-173.4
7.362,-281.8,-177.5
7.379,-278.5,-184
7.396,-274.7,-191.7
7.413,-268.3,-200.2
7.43,-262.2,-210.2
7.446,-253.5,-219.8
7.463,-243.8,-230.5
7.48,-231.9,-241.3
7.497,-219.5,-253.5
7.514,-203.6,-262.6
7.53,-187.6,-273.6
7.547,-169.7,-283.5
7.564,-149.7,-291.6
7.581,-129.8,-301.5
7.598,-109.6,-313.6
7.615,-85.73,-315.6
7.631,-62.78,-321.6
7.648,-39.53,-327.6
7.665,-15.33,-329.6
7.682,9.08,-328.6
7.699,33.15,-327.6
7.715,51.34,-321.6
7.732,75.34,-319.6
7.749,98.33,-313.6
7.766,120.3,-307.6
7.783,141.3,-300.6
7.799,159.4,-291.6
7.816,176.3,-281.6
7.833,191.3,-270.6
7.85,206.4,-260.5
7.867,220.3,-249.6
7.883,232.3,-238.6
7.9,242.3,-227.6
7.917,252.3,-218.6
7.934,258.4,-207.6
7.951,265.4,-199.6
7.968,270.4,-191.6
7.984,275.4,-185.5
8.001,278.3,-179.7
8.018,280.3,-175.6
8.035,282.4,-173.5
8.052,282.3,-171.6
8.068,282.3,-171.6
8.085,282.4,-173.5
8.102,279.5,-175.4
8.119,276.6,-179.2
8.136,274.1,-185.9
8.152,268.5,-191.4
8.169,263.4,-199.6
8.186,256.2,-207.8
8.203,248.4,-217.6
8.22,239.2,-227.7
8.236,227.4,-237.5
8.253,217.3,-249.6
8.27,203.4,-261.6
8.287,189.3,-272.6
8.304,172.4,-283.6
8.321,155.3,-293.6
8.337,136.3,-302.6
8.354,114.3,-309.6
8.371,93.35,-316.6
8.388,70.35,-322.6
8.405,46.35,-323.6
8.421,23.31,-327.6
8.438,-1.649,-327.6
8.455,-25.65,-327.6
8.472,-49.68,-326.6
8.489,-74.65,-320.6
8.505,-96.64,-315.6
8.522,-118.7,-307.6
8.539,-138.6,-299.6
8.556,-158.7,-290.6
8.573,-176.6,-280.6
8.589,-190.7,-267.6
8.606,-207.6,-257.6
8.623,-220.6,-245.6
8.64,-236.6,-238.6
8.657,-246.7,-227.6
8.674,-256.6,-217.6
8.69,-264.7,-208.6
8.707,-272.5,-200.5
8.724,-277.7,-192.6
8.741,-282.6,-186.6
8.758,-284.7,-180.6
8.774,-286.7,-176.5
8.791,-282.7,-170.5
8.808,-285.6,-170.6
8.825,-285.6,-170.6
8.842,-282.7,-170.6
8.858,-283.6,-174.5
8.875,-280.8,-178.3
8.892,-275.9,-182.4
8.909,-270.8,-188.4
8.926,-265.7,-196.5
8.942,-258.6,-204.7
8.959,-251.6,-214.7
8.976,-242.7,-224.5
8.993,-230.7,-234.6
9.01,-219.6,-246.6
9.027,-206.7,-258.5
9.043,-190.7,-268.6
9.06,-174.7,-280.6
9.077,-155.7,-290.6
9.094,-136.7,-300.6
9.111,-116.6,-309.6
9.127,-92.67,-316.6
9.144,-68.69,-320.6
9.161,-46.65,-324.6
9.178,-23.64,-326.6
9.195,1.339,-329.6
9.211,24.37,-327.6
9.228,48.35,-326.6
9.245,72.36,-323.6
9.262,94.33,-316.6
9.279,115.3,-310.5
9.295,135.3,-302.6
9.312,154.3,-292.6
9.329,172.3,-282.6
9.346,187.3,-270.6
9.363,202.4,-260.5
9.379,214.3,-248.6
9.396,228.4,-240.5
9.413,239.3,-230.6
9.43,248.3,-220.6
9.447,256.4,-212.5
9.464,261.4,-202.6
9.48,268.3,-196.6
9.497,270.4,-188.6
9.514,275.3,-184.6
9.531,276.4,-180.5
9.548,279.3,-178.6
9.564,278.4,-176.6
9.581,278.4,-176.6
9.598,278.4,-178.5
9.615,276.3,-180.7
9.632,274,-185
9.648,271.4,-190.4
9.665,266.5,-196.4
9.682,259.3,-202.7
9.699,254.3,-212.5
9.716,245.2,-220.7
9.732,236.4,-230.5
9.749,225.4,-240.5
9.766,213.3,-250.7
9.783,201.3,-262.6
9.8,186.3,-273.6
9.817,170.3,-284.6
9.833,152.3,-293.6
9.85,133.3,-301.6
9.867,113.4,-310.6
9.884,92.35,-317.6
9.901,69.33,-322.6
9.917,45.33,-325.6
9.934,21.35,-327.6
9.951,-2.647,-329.6
9.968,-25.68,-327.6
9.985,-48.68,-323.6
10.001,-72.68,-319.6
10.018,-95.68,-315.6
10.035,-117.6,-307.6
10.052,-137.7,-299.6
10.069,-156.7,-291.6
10.085,-174.7,-281.6
10.102,-191.7,-271.6
10.119,-206.7,-261.6
10.136,-218.7,-248.6
10.153,-230.7,-237.6
10.17,-242.7,-228.6
10.186,-252.6,-218.6
10.203,-256.7,-206.6
10.22,-263.6,-198.6
10.237,-270.7,-192.6
10.254,-273.7,-185.6
10.27,-278.7,-181.6
10.287,-280.7,-177.6
10.304,-285.7,-177.5
10.321,-285.6,-175.6
10.338,-285.6,-175.8
10.354,-285.6,-177.6
10.371,-282.7,-179.6
10.388,-279.9,-183.3
10.405,-276.8,-189.3
10.422,-271.7,-195.5
10.438,-266.5,-203.7
10.455,-258.7,-211.5
10.472,-250.7,-221.5
10.489,-240.7,-231.5
10.506,-228.7,-241.5
10.523,-216.7,-252.6
10.539,-202.7,-263.6
10.556,-186.7,-274.5
10.573,-170.6,-284.6
10.59,-152.7,-294.6
10.607,-131.7,-301.6
10.623,-110.7,-308.6
10.64,-88.67,-314.6
10.657,-65.66,-319.6
10.674,-42.64,-323.6
10.691,-18.68,-326.6
10.707,5.359,-327.6
10.724,29.25,-325.6
10.741,51.33,-323.6
10.758,73.35,-320.6
10.775,95.33,-315.6
10.791,115.3,-310.6
10.808,135.3,-302.6
10.825,153.3,-292.6
10.842,170.4,-282.5
10.859,187.4,-274.5
10.876,202.4,-264.5
10.892,214.3,-252.6
10.909,226.3,-242.6
10.926,236.4,-232.6
10.943,247.3,-224.6
10.96,255.3,-215.6
10.976,261.4,-207.6
10.993,267.3,-200.6
11.01,271.3,-194.6
11.027,275.2,-189.7
11.044,277.4,-186.4
11.06,273.4,-180.5
11.077,273.4,-179.4
11.094,273.3,-179.6
11.111,273.2,-181.8
11.128,270.4,-183.7
11.144,267.3,-187.8
11.161,263.4,-192.6
11.178,261.4,-201.5
11.195,255.3,-208.6
11.212,247.2,-216.7
11.229,239.5,-226.4
11.245,229.3,-235.6
11.262,219.2,-246.7
11.279,205.3,-255.6
11.296,191.3,-265.6
11.313,177.3,-276.6
11.329,161.3,-286.6
11.346,143.3,-295.6
11.363,124.3,-303.6
11.38,103.3,-311.6
11.397,81.35,-315.6
11.413,59.34,-321.6
11.43,36.35,-325.6
11.447,13.36,-327.6
11.464,-9.682,-327.6
11.481,-33.66,-323.7
11.497,-57.65,-321.6
11.514,-80.64,-316.6
11.531,-100.7,-311.6
11.548,-122.6,-303.6
11.565,-142.6,-296.6
11.581,-160.7,-287.6
11.598,-176.8,-277.5
11.615,-194.7,-269.6
11.632,-208.6,-258.6
11.649,-220.6,-247.6
11.666,-234.7,-239.6
11.682,-244.7,-229.6
11.699,-254.7,-221.5
11.716,-260.7,-211.6
11.733,-266.7,-203.6
11.75,-266.7,-193.6
11.766,-274.7,-190.6
11.783,-276.7,-185.6
11.8,-280.7,-183.6
11.817,-276.7,-178.5
11.834,-276.7,-177.6
11.85,-275.7,-177.6
11.867,-274.7,-179.6
11.884,-272.7,-182.7
11.901,-270.7,-187.4
11.918,-266.4,-193
11.934,-261.8,-199.4
11.951,-254.8,-206.5
11.968,-248.6,-216.6
11.985,-238.9,-224.5
12.002,-230.6,-235.6
12.019,-218.7,-245.6
12.035,-205.6,-255.6
12.052,-191.7,-265.6
12.069,-176.6,-277.6
12.086,-159.7,-287.6
12.103,-139.7,-295.6
12.119,-120.7,-303.6
12.136,-99.61,-311.6
12.153,-78.64,-317.6
12.17,-55.64,-321.6
12.187,-31.66,-325.6
12.203,-9.648,-325.7
12.22,14.37,-325.7
12.237,37.32,-325.6
12.254,59.41,-321.7
12.271,81.36,-317.6
12.287,103.3,-313.6
12.304,123.3,-306.6
12.321,141.3,-296.6
12.338,159.3,-288.6
12.355,175.3,-278.6
12.372,190.4,-268.6
12.388,203.4,-257.6
12.405,216.4,-248.6
12.422,229.3,-240.6
12.439,235.3,-227.6
12.456,243.3,-218.6
12.472,250.3,-209.6
12.489,256.3,-202.6
12.506,261.4,-196.5
12.523,264.3,-190.6
12.54,267.4,-186.6
12.556,270.3,-184.5
12.573,271.3,-182.6
12.59,272.3,-182.6
12.607,270.4,-182.6
12.624,270.3,-185.6
12.64,268.1,-188.9
12.657,265.3,-193.6
12.674,260.3,-198.7
12.691,256.5,-206.4
12.708,250.3,-214.7
12.725,242.2,-222.8
12.741,234.2,-232.8
12.758,224.3,-242.7
12.775,212.5,-252.5
12.792,199.3,-262.6
12.809,184.3,-271.6
12.825,168.3,-280.6
12.842,151.4,-290.6
12.859,133.3,-298.6
12.876,113.4,-306.6
12.893,93.37,-314.6
12.909,72.35,-322.6
12.926,49.37,-324.6
12.943,27.33,-325.6
12.96,4.346,-327.6
12.977,-18.69,-326.6
12.993,-42.66,-327.6
13.01,-66.63,-323.6
13.027,-88.62,-318.6
13.044,-108.7,-312.6
13.061,-128.7,-304.6
13.078,-148.6,-296.6
13.094,-166.7,-287.6
13.111,-182.7,-277.6
13.128,-198.6,-267.6
13.145,-211.7,-257.6
13.162,-223.7,-247.6
13.178,-234.7,-237.6
13.195,-243.7,-227.6
13.212,-251.6,-218.6
13.229,-257.6,-209.7
13.246,-264.6,-203.6
13.262,-268.7,-197.6
13.279,-273.7,-193.6
13.296,-275.7,-189.6
13.313,-274.7,-185.6
13.33,-276.7,-185.5
13.346,-276.7,-185.5
13.363,-275.6,-186.6
13.38,-274.6,-189.7
13.397,-272.5,-193.9
13.414,-270.5,-199.6
13.43,-262.7,-203.5
13.447,-257.8,-211.4
13.464,-250.6,-219.7
13.481,-242.7,-229.5
13.498,-230.7,-235.6
13.515,-221.7,-247.6
13.531,-208.6,-256.6
13.548,-194.7,-266.6
13.565,-178.7,-275.6
13.582,-162.6,-285.6
13.599,-144.7,-294.6
13.615,-126.7,-305.6
13.632,-105.7,-309.6
13.649,-84.62,-315.6
13.666,-62.67,-321.6
13.683,-40.67,-325.6
13.699,-18.61,-327.6
13.716,5.301,-328.6
13.733,27.41,-328.6
13.75,49.38,-326.6
13.767,71.47,-322.5
13.783,92.4,-317.6
13.8,112.4,-310.6
13.817,131.4,-302.6
13.834,150.3,-295.6
13.851,167.3,-286.6
13.868,183.4,-277.5
13.884,197.4,-267.5
13.901,209.4,-256.6
13.918,222.3,-247.6
13.935,232.4,-238.5
13.952,240.4,-228.6
13.968,248.4,-220.6
13.985,254.3,-212.6
14.002,256.4,-203.6
14.019,265.3,-201.6
14.036,269.3,-197.6
14.052,269.4,-193.5
14.069,271.3,-191.6
14.086,272.4,-191.5
14.103,271.4,-191.5
14.12,268.3,-191.7
14.136,265.2,-193.9
14.153,262.3,-197.8
14.17,259.2,-203.7
14.187,253.7,-209.2
14.204,248.3,-217.6
14.221,239.4,-223.6
14.237,232.3,-233.7
14.254,223.3,-243.6
14.271,210.4,-251.5
14.288,198.4,-261.5
14.305,185.3,-271.6
14.321,170.3,-281.6
14.338,154.4,-291.6
14.355,137.3,-300.6
14.372,118.3,-307.6
14.389,98.31,-311.6
14.405,78.34,-322.6
14.422,56.33,-326.6
14.439,33.35,-325.6
14.456,11.35,-329.6
14.473,-10.71,-329.6
14.489,-34.62,-326.6
14.506,-57.62,-325.6
14.523,-79.59,-321.6
14.54,-100.7,-315.6
14.557,-120.6,-309.5
14.574,-139.7,-300.5
14.59,-158.6,-292.6
14.607,-174.7,-282.6
14.624,-190.7,-273.5
14.641,-204.7,-263.5
14.658,-217.6,-253.6
14.674,-228.6,-243.6
14.691,-239.7,-235.5
14.708,-244.7,-223.6
14.725,-255.6,-217.6
14.742,-257.6,-207.6
14.758,-262.7,-201.6
14.775,-267.7,-197.5
14.792,-267.7,-191.6
14.809,-270.7,-189.5
14.826,-271.7,-187.6
14.842,-272.6,-187.6
14.859,-270.9,-187.4
14.876,-270.4,-190
14.893,-268.8,-193.3
14.91,-265.6,-197.6
14.927,-262.5,-203.7
14.943,-256.6,-209.7
14.96,-250.5,-217.7
14.977,-242.6,-225.6
14.994,-234.6,-235.6
15.011,-224.7,-245.5
15.027,-212.7,-255.5
15.044,-199.7,-265.6
15.061,-184.7,-275.5
15.078,-169.6,-285.6
15.095,-150.7,-293.6
15.111,-131.7,-301.6
15.128,-112.7,-309.6
15.145,-92.64,-317.6
15.162,-70.67,-322.6
15.179,-48.69,-326.6
15.195,-26.65,-327.6
15.212,-2.688,-329.6
15.229,19.34,-330.6
15.246,41.38,-328.6
15.263,63.33,-323.6
15.28,83.52,-317.6
15.296,105.2,-314.5
15.313,125.3,-307.6
15.33,143.3,-299.6
15.347,159.4,-291.6
15.364,175.3,-281.6
15.38,190.4,-272.6
15.397,203.3,-262.6
15.414,215.3,-252.6
15.431,225.3,-242.6
15.448,236.4,-236.5
15.464,244.4,-228.5
15.481,251.3,-220.6
15.498,257.3,-214.5
15.515,255.4,-203.6
15.532,259.4,-199.6
15.548,265.3,-198.6
15.565,264.4,-194.5
15.582,265.3,-193.6
15.599,265.3,-193.6
15.616,264.3,-194.6
15.632,262.4,-196.6
15.649,260.2,-200.7
15.666,258.5,-206.3
15.683,254.3,-212.7
15.7,247.5,-218.4
15.717,240.5,-225.5
15.733,232.1,-233.8
15.75,222.2,-241.8
15.767,212.3,-251.6
15.784,200.5,-261.5
15.801,187.4,-270.6
15.817,174.3,-281.6
15.834,158.3,-290.6
15.851,140.4,-298.6
15.868,123.3,-307.6
15.885,103.3,-313.6
15.901,82.34,-319.6
15.918,60.36,-323.6
15.935,38.33,-325.6
15.952,16.34,-329.6
15.969,-4.659,-330.6
15.985,-27.66,-328.6
16.002,-49.69,-324.6
16.019,-72.65,-320.6
16.036,-92.65,-316.6
16.053,-113.7,-310.6
16.07,-132.7,-302.6
16.086,-151.6,-294.6
16.103,-168.6,-286.6
16.12,-183.7,-276.5
16.137,-197.7,-266.6
16.154,-210.7,-256.6
16.17,-223.6,-248.6
16.187,-232.7,-238.6
16.204,-242.7,-230.6
16.221,-250.6,-222.6
16.238,-256.6,-214.6
16.254,-260.7,-207.6
16.271,-265.7,-202.6
16.288,-268.7,-198.5
16.305,-269.7,-194.6
16.322,-270.7,-192.6
16.338,-271.7,-192.5
16.355,-270.7,-192.6
16.372,-270.5,-194.8
16.389,-266.6,-196.8
16.406,-263.8,-200.5
16.423,-258.4,-205
16.439,-255.5,-212.8
16.456,-247.6,-218.7
16.473,-240.5,-226.8
16.49,-230.7,-234.5
16.507,-221.6,-244.6
16.523,-210.6,-254.6
16.54,-196.7,-262.7
16.557,-182.7,-273.6
16.574,-168.6,-284.6
16.591,-151.6,-291.6
16.607,-132.7,-299.6
16.624,-114.7,-307.6
16.641,-94.64,-313.6
16.658,-72.7,-318.6
16.675,-50.69,-322
16.691,-28.68,-325.6
16.708,-6.667,-325.8
16.725,15.34,-327.6
16.742,37.35,-327.6
16.759,59.28,-325.6
16.776,79.36,-320.6
16.792,99.29,-316.6
16.809,119.3,-310.6
16.826,137.3,-301.6
16.843,154.4,-294.5
16.86,170.3,-285.6
16.876,185.4,-276.6
16.893,199.3,-267.6
16.91,211.3,-258.6
16.927,221.4,-248.6
16.944,231.4,-240.5
16.96,240.3,-232.6
16.977,247.3,-224.6
16.994,253.4,-218.5
17.011,258.3,-212.6
17.028,260.4,-206.5
17.044,262.4,-202.5
17.061,265.3,-200.6
17.078,265.4,-198.5
17.095,266.2,-198.7
17.112,265.4,-199.6
17.129,263.4,-201.5
17.145,261.2,-204.8
17.162,258.2,-209.7
17.179,253.1,-214.9
17.196,247.1,-220.8
17.213,241.1,-228.8
17.229,233.1,-236.7
17.246,223.6,-245.4
17.263,211.2,-252.7
17.28,200.3,-262.6
17.297,187.3,-271.6
17.313,173.3,-282.6
17.33,158.3,-291.6
17.347,141.3,-299.6
17.364,121.3,-303.6
17.381,105.3,-315.6
17.397,83.34,-317.6
17.414,62.35,-321.6
17.431,40.34,-323.7
17.448,18.35,-325.6
17.465,-3.677,-325.7
17.481,-25.67,-325.6
